"Host.Species","Lake","Year","Julian.Day","Total","pasteuria.inf","metsch.inf","scarlet.inf","brood.inf","larssonia.inf","spider.inf","gurleya.inf","pasteuria.prev","metsch.prev","scarlet.prev","brood.prev","larssonia.prev","spider.prev","gurleya.prev","Density"
"ceriodaphnia","Gosling","2015",2015313,279,0,21,0,0,0,0,0,0,0.0752688172043011,0,0,0,0,0,74820.6
"ceriodaphnia","Appleton","2015",2015315,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","LittleAppleton","2015",2015315,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18060.1
"ceriodaphnia","Bishop","2015",2015315,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14190.1
"ceriodaphnia","Whitmore","2015",2015317,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Woodland","2015",2015317,177,0,1,0,0,0,0,0,0,0.00564971751412429,0,0,0,0,0,46440.4
"dentifera","Walsh","2015",2015194,208,2,1,0,0,0,0,0,0.00961538461538462,0.00480769230769231,0,0,0,0,0,288962.3
"dentifera","Mill","2015",2015194,482,0,0,0,0,3,0,0,0,0,0,0,0.00622406639004149,0,0,183826.5
"dentifera","North","2015",2015195,226,0,0,3,0,0,0,0,0,0,0.0132743362831858,0,0,0,0,552124.5
"dentifera","Bruin","2015",2015195,227,0,0,0,0,1,0,0,0,0,0,0,0.00440528634361234,0,0,110940.9
"dentifera","CrookedP","2015",2015195,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451503.7
"dentifera","Cedar","2015",2015197,212,0,0,0,3,1,0,0,0,0,0,0.0141509433962264,0.00471698113207547,0,0,247682
"dentifera","CrookedW","2015",2015197,274,2,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,166411.4
"dentifera","LittleAppleton","2015",2015202,573,1,0,0,0,0,0,0,0.00174520069808028,0,0,0,0,0,0,2747722.3
"dentifera","Bishop","2015",2015202,262,0,0,10,0,0,0,0,0,0,0.0381679389312977,0,0,0,0,414093.4
"dentifera","Appleton","2015",2015202,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49020.4
"dentifera","Gosling","2015",2015203,234,0,0,0,4,4,0,0,0,0,0,0.0170940170940171,0.0170940170940171,0,0,220591.8
"dentifera","Sullivan","2015",2015203,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252842.1
"dentifera","Pickerel","2015",2015203,200,2,0,2,3,0,0,0,0.01,0,0.01,0.015,0,0,0,464403.8
"dentifera","Whitmore","2015",2015205,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900.1
"dentifera","Woodland","2015",2015205,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6192.1
"dentifera","Walsh","2015",2015208,569,4,4,2,0,0,0,0,0.0070298769771529,0.0070298769771529,0.00351493848857645,0,0,0,0,196081.6
"dentifera","Mill","2015",2015208,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154801.3
"dentifera","North","2015",2015209,395,0,0,1,21,1,0,0,0,0,0.00253164556962025,0.0531645569620253,0.00253164556962025,0,0,1060388.6
"dentifera","Bruin","2015",2015209,96,0,0,2,3,0,0,0,0,0,0.0208333333333333,0.03125,0,0,0,71595.6
"dentifera","CrookedP","2015",2015209,246,0,0,0,1,0,0,0,0,0,0,0.0040650406504065,0,0,0,237361.9
"dentifera","Cedar","2015",2015211,274,1,0,1,8,3,0,0,0.00364963503649635,0,0.00364963503649635,0.0291970802919708,0.0109489051094891,0,0,522454.2
"dentifera","CrookedW","2015",2015211,207,1,0,0,0,1,0,0,0.00483091787439614,0,0,0,0.00483091787439614,0,0,206401.7
"dentifera","Bishop","2015",2015215,228,0,0,1,0,0,0,0,0,0,0.0043859649122807,0,0,0,0,185761.5
"dentifera","Appleton","2015",2015215,89,0,0,2,0,1,0,0,0,0,0.0224719101123595,0,0.0112359550561798,0,0,30960.3
"dentifera","LittleAppleton","2015",2015215,460,4,0,3,0,1,0,0,0.00869565217391304,0,0.00652173913043478,0,0.00217391304347826,0,0,2078206.9
"dentifera","Gosling","2015",2015216,257,0,0,1,0,2,0,0,0,0,0.00389105058365759,0,0.00778210116731518,0,0,743046
"dentifera","Sullivan","2015",2015216,209,2,0,0,0,1,0,0,0.00956937799043062,0,0,0,0.00478468899521531,0,0,526324.3
"dentifera","Pickerel","2015",2015216,207,7,0,0,3,0,0,0,0.0338164251207729,0,0,0.0144927536231884,0,0,0,402483.3
"dentifera","Whitmore","2015",2015218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"dentifera","Walsh","2015",2015219,234,0,1,0,0,0,0,0,0,0.00427350427350427,0,0,0,0,0,203821.7
"dentifera","Mill","2015",2015219,136,0,0,0,1,0,0,0,0,0,0,0.00735294117647059,0,0,0,56115.5
"dentifera","North","2015",2015223,200,0,0,0,11,0,0,0,0,0,0,0.055,0,0,0,626945.1
"dentifera","Bruin","2015",2015223,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54180.4
"dentifera","CrookedP","2015",2015223,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69660.6
"dentifera","CrookedW","2015",2015226,199,1,0,0,1,0,0,0,0.0050251256281407,0,0,0.0050251256281407,0,0,0,121261
"dentifera","Cedar","2015",2015226,223,11,0,4,5,2,0,0,0.0493273542600897,0,0.0179372197309417,0.0224215246636771,0.00896860986547085,0,0,208981.7
"dentifera","Bishop","2015",2015229,207,1,0,0,0,0,0,0,0.00483091787439614,0,0,0,0,0,0,159961.3
"dentifera","Appleton","2015",2015229,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38700.3
"dentifera","LittleAppleton","2015",2015229,258,4,0,0,0,0,0,0,0.0155038759689922,0,0,0,0,0,0,1424171.6
"dentifera","Sullivan","2015",2015232,217,2,0,0,0,0,0,0,0.00921658986175115,0,0,0,0,0,0,869467.1
"dentifera","Gosling","2015",2015232,202,11,0,0,2,0,0,0,0.0544554455445545,0,0,0.0099009900990099,0,0,0,379263.1
"dentifera","Pickerel","2015",2015232,234,32,0,0,4,0,0,0,0.136752136752137,0,0,0.0170940170940171,0,0,0,193501.6
"dentifera","Whitmore","2015",2015233,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"dentifera","Walsh","2015",2015236,207,9,4,0,0,0,0,0,0.0434782608695652,0.0193236714975845,0,0,0,0,0,247682
"dentifera","Mill","2015",2015236,229,2,1,0,0,0,0,0,0.00873362445414847,0.00436681222707424,0,0,0,0,0,105780.9
"dentifera","Bruin","2015",2015237,77,0,0,1,0,0,0,0,0,0,0.012987012987013,0,0,0,0,43860.4
"dentifera","CrookedP","2015",2015237,210,0,0,0,1,0,0,0,0,0,0,0.00476190476190476,0,0,0,73530.6
"dentifera","North","2015",2015237,202,1,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,136741.1
"dentifera","CrookedW","2015",2015239,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89010.7
"dentifera","Cedar","2015",2015239,249,10,0,1,1,0,0,0,0.0401606425702811,0,0.00401606425702811,0.00401606425702811,0,0,0,437313.6
"dentifera","Appleton","2015",2015243,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46440.4
"dentifera","LittleAppleton","2015",2015243,329,8,0,1,0,0,0,0,0.0243161094224924,0,0.00303951367781155,0,0,0,0,1489962.1
"dentifera","Bishop","2015",2015243,311,5,0,0,0,0,0,0,0.0160771704180064,0,0,0,0,0,0,96750.8
"dentifera","Sullivan","2015",2015244,206,8,0,0,0,0,0,0,0.0388349514563107,0,0,0,0,0,0,332822.7
"dentifera","Gosling","2015",2015244,256,25,0,0,6,1,0,0,0.09765625,0,0,0.0234375,0.00390625,0,0,239941.9
"dentifera","Pickerel","2015",2015244,478,49,0,0,1,0,0,0,0.102510460251046,0,0,0.00209205020920502,0,0,0,98685.8
"dentifera","Whitmore","2015",2015247,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"dentifera","Walsh","2015",2015251,208,1,4,1,0,0,0,0,0.00480769230769231,0.0192307692307692,0.00480769230769231,0,0,0,0,216721.8
"dentifera","Mill","2015",2015251,223,0,1,0,1,0,0,0,0,0.00448430493273543,0,0.00448430493273543,0,0,0,100620.8
"dentifera","North","2015",2015252,445,14,0,9,13,0,0,0,0.0314606741573034,0,0.0202247191011236,0.0292134831460674,0,0,0,190921.6
"dentifera","Bruin","2015",2015252,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71595.6
"dentifera","CrookedP","2015",2015252,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170281.4
"dentifera","Cedar","2015",2015254,305,27,0,1,2,3,0,0,0.0885245901639344,0,0.00327868852459016,0.00655737704918033,0.00983606557377049,0,0,87075.7
